Date,AL_Predict,AL_lower,AL_upper,AK_Predict,AK_lower,AK_upper,AZ_Predict,AZ_lower,AZ_upper,AR_Predict,AR_lower,AR_upper,CA_Predict,CA_lower,CA_upper,CO_Predict,CO_lower,CO_upper,CT_Predict,CT_lower,CT_upper,DE_Predict,DE_lower,DE_upper,DC_Predict,DC_lower,DC_upper,FL_Predict,FL_lower,FL_upper,GA_Predict,GA_lower,GA_upper,HI_Predict,HI_lower,HI_upper,ID_Predict,ID_lower,ID_upper,IL_Predict,IL_lower,IL_upper,IN_Predict,IN_lower,IN_upper,IA_Predict,IA_lower,IA_upper,KS_Predict,KS_lower,KS_upper,KY_Predict,KY_lower,KY_upper,LA_Predict,LA_lower,LA_upper,ME_Predict,ME_lower,ME_upper,MD_Predict,MD_lower,MD_upper,MA_Predict,MA_lower,MA_upper,MI_Predict,MI_lower,MI_upper,MN_Predict,MN_lower,MN_upper,MS_Predict,MS_lower,MS_upper,MO_Predict,MO_lower,MO_upper,MT_Predict,MT_lower,MT_upper,NE_Predict,NE_lower,NE_upper,NV_Predict,NV_lower,NV_upper,NH_Predict,NH_lower,NH_upper,NJ_Predict,NJ_lower,NJ_upper,NM_Predict,NM_lower,NM_upper,NY_Predict,NY_lower,NY_upper,NC_Predict,NC_lower,NC_upper,ND_Predict,ND_lower,ND_upper,OH_Predict,OH_lower,OH_upper,OK_Predict,OK_lower,OK_upper,OR_Predict,OR_lower,OR_upper,PA_Predict,PA_lower,PA_upper,RI_Predict,RI_lower,RI_upper,SC_Predict,SC_lower,SC_upper,SD_Predict,SD_lower,SD_upper,TN_Predict,TN_lower,TN_upper,TX_Predict,TX_lower,TX_upper,UT_Predict,UT_lower,UT_upper,VT_Predict,VT_lower,VT_upper,VA_Predict,VA_lower,VA_upper,WA_Predict,WA_lower,WA_upper,WV_Predict,WV_lower,WV_upper,WI_Predict,WI_lower,WI_upper,WY_Predict,WY_lower,WY_upper
6/6/2020,19319.71157,19086.92367,19583.27839,460.5077064,448.0289096,472.7885113,21785.00677,21460.38819,22101.91785,7780.133733,7571.805424,7984.394676,121187.1215,120278.1135,122112.8278,27852.323,27713.37756,27999.69475,45012.74298,44574.32258,45460.43887,10392.43154,10266.15765,10534.09045,9501.288836,9417.714979,9584.717616,59785.98852,59533.42044,60041.97993,50466.56484,50231.69552,50685.6015,793.2179917,671.2417797,918.297649,2966.648042,2930.81541,3002.077097,131905.2109,130683.1516,133123.398,37036.09894,36905.3136,37168.39548,21309.54962,21208.16089,21414.34786,10633.48335,10524.86103,10742.0085,10652.89694,10559.57883,10745.70581,41991.45137,41782.67903,42224.77307,2517.516425,2498.90357,2538.612288,57531.15236,57307.15646,57748.15195,104002.5569,103286.1162,104755.199,59882.86495,59541.6677,60211.43902,27850.96304,27655.32135,28038.40448,16718.09933,16618.03481,16822.34359,14355.39154,14273.33685,14437.11201,512.5991737,505.4769394,520.4072926,15582.12374,15499.82468,15666.24927,9174.848861,9119.227438,9231.738678,4990.738254,4960.963833,5018.469118,165743.162,165104.8357,166416.2109,8466.3479,8422.438322,8507.094852,380536.7716,378866.3562,382419.1101,31390.76252,30997.95186,31789.25607,2884.840259,2835.741925,2935.808201,38363.03805,38088.83162,38653.64865,7039.814258,6991.086055,7081.978583,4533.775934,4494.055824,4575.284859,80736.26549,80281.2551,81196.22578,15935.58061,15800.39343,16081.63267,12487.66373,12346.6049,12632.66255,5454.864098,5367.386192,5540.843973,24785.44094,24517.93112,25075.13706,70281.4091,69908.37403,70677.27804,10513.82861,10411.36729,10616.80575,999.8077039,990.6899082,1008.924309,48750.64053,48486.72253,49029.96694,22701.16642,22556.73752,22843.6966,2109.550956,2078.129138,2141.586793,19991.08107,19804.32372,20171.7666,958.3502542,942.7326269,975.2113403
6/7/2020,19681.21738,19441.27376,19933.41578,463.6689411,452.1223154,476.0109672,22235.97578,21922.6607,22563.81065,7915.118307,7704.548469,8121.958577,123364.8558,122461.2353,124287.0721,28292.84462,28143.70811,28444.35341,45384.05469,44954.58883,45841.07207,10523.46036,10392.65396,10663.28425,9634.861944,9547.540885,9711.744152,60519.18142,60248.21473,60775.25528,51045.3018,50843.98191,51267.29012,798.8042491,673.5372721,922.5661609,2989.809059,2955.098828,3024.574252,133956.4212,132653.7634,135051.6749,37559.29363,37425.55778,37694.77838,21674.62445,21566.25405,21788.27069,10751.42512,10642.54851,10860.97891,10824.05401,10731.4747,10916.32099,42313.50207,42083.5602,42532.97656,2560.309513,2540.545926,2578.750466,58508.98645,58274.07245,58735.18576,105029.6472,104306.2045,105761.6699,60282.31835,59923.46928,60651.25749,28516.00328,28330.12516,28694.37758,17022.57292,16920.76048,17120.81462,14507.48078,14419.38741,14596.38953,516.2659246,508.2270851,524.4796672,15881.97782,15805.4391,15968.98174,9294.883102,9237.442544,9349.400855,5062.177931,5036.972354,5089.62193,166842.3163,166124.6963,167539.1989,8601.9652,8558.252182,8645.410384,382606.4772,380648.1947,384587.4282,32052.39492,31668.59489,32474.69893,2936.911119,2892.318784,2985.931967,38948.77204,38632.49663,39260.49534,7132.787628,7084.751281,7177.97249,4599.911584,4556.100031,4639.477728,81488.06413,81050.35363,81950.54027,16120.77894,15977.648,16250.96553,12684.37049,12556.46896,12830.00565,5545.640694,5463.663985,5638.427108,25203.75803,24931.99141,25492.78791,71482.10419,71074.53293,71860.41704,10697.07013,10593.40923,10794.75786,1003.110689,993.9056981,1012.303702,49691.92528,49418.31268,49962.43116,22956.92529,22821.15484,23103.28381,2138.420873,2106.303147,2170.964167,20404.31662,20224.7282,20573.48875,968.684495,952.7648641,985.0726771
6/8/2020,20046.6487,19822.67144,20299.2099,466.7811112,454.6359802,479.1672536,22641.42149,22324.76368,22972.17595,8078.216981,7865.663961,8276.641867,125367.4146,124419.0138,126299.0769,28552.97074,28396.12044,28702.84756,45894.36841,45455.43623,46374.13484,10683.14747,10558.11116,10817.70725,9755.918578,9675.77832,9845.299228,61255.48134,60950.64837,61535.38888,51661.83959,51418.33177,51877.65036,802.8863127,687.8981905,929.9127076,3007.379644,2969.809871,3048.18619,135911.0095,134713.8444,137154.7363,38033.57028,37880.39237,38178.08634,22013.53088,21903.80159,22123.99137,10867.3532,10755.70826,10985.4243,10931.81366,10833.09466,11020.7659,42692.61712,42443.27925,42934.7219,2604.230614,2583.916141,2622.206989,59449.24663,59208.77187,59696.53501,105835.5624,105067.6835,106609.5121,60727.40209,60311.28493,61119.75626,29141.34521,28949.53367,29322.02928,17274.55502,17172.04795,17376.88625,14683.59304,14594.9006,14782.67032,516.9519017,508.4583696,525.1081679,16135.83453,16048.70415,16229.44887,9414.546479,9359.114114,9469.919302,5142.544655,5116.562293,5171.426087,167978.9667,167191.6922,168703.1681,8728.229313,8685.304777,8777.522654,384087.0388,381878.3523,386078.3645,32676.13596,32259.59382,33069.68592,2985.58931,2936.176647,3030.989188,39487.87853,39177.16491,39796.63204,7216.588257,7164.171344,7262.624558,4643.173776,4600.932384,4684.941032,82237.47475,81753.50897,82732.53325,16282.62141,16141.48441,16418.01505,12883.31861,12747.94367,13024.41687,5621.313842,5531.563363,5713.861284,25519.09437,25255.58403,25799.72287,72641.02211,72281.7951,73045.1122,10869.57862,10763.46742,10974.66891,1005.928255,996.0347522,1015.831768,50600.66366,50327.78536,50887.13189,23187.16409,23034.06352,23346.86659,2166.364226,2131.692738,2199.642397,20758.0879,20566.88812,20940.97021,978.036893,961.3221331,994.9872305
6/9/2020,20424.61957,20165.6227,20677.91164,469.735384,456.6184422,482.1593771,23001.68951,22674.02552,23308.10278,8203.869068,7999.423682,8401.196241,127449.8839,126431.2755,128402.3687,28843.24019,28683.21178,29014.69133,46310.94866,45846.57559,46806.03442,10838.22496,10699.56698,10975.43249,9871.439714,9781.582295,9965.185217,61993.95149,61686.55518,62321.44533,52394.2401,52139.78218,52635.84296,809.206039,682.2708489,935.8464824,3037.040012,2996.993221,3077.63039,137751.6164,136466.2948,139099.5706,38495.38672,38342.10575,38655.26536,22360.2175,22231.97939,22482.7718,11017.4788,10884.94484,11128.90895,11095.55508,11002.27176,11192.98578,43054.66831,42751.04952,43380.6991,2640.644174,2618.869014,2661.45261,60339.57123,60066.44659,60602.11887,106891.8182,106082.4639,107692.4818,61138.02531,60706.00261,61552.95808,29757.38691,29556.33355,29955.20902,17533.27716,17420.34758,17639.92312,14879.21509,14775.21077,14970.4277,519.7310372,510.9690681,527.9755086,16400.48993,16296.38632,16509.00248,9520.414487,9463.751229,9579.798177,5208.192259,5178.091276,5235.95101,168919.6671,167991.6806,169705.7608,8862.206307,8816.836715,8911.681383,385388.5985,382813.5773,387620.5612,33307.06801,32913.76795,33697.57055,3031.939331,2982.672613,3080.825976,40010.40327,39694.13839,40341.0974,7307.179973,7256.273621,7356.4417,4694.518463,4648.17663,4739.137219,82971.90574,82470.0473,83501.38745,16450.0965,16299.61903,16591.94755,13063.54986,12919.99532,13214.35383,5688.431081,5601.181396,5771.801598,25900.99279,25624.79485,26169.87656,73720.36513,73301.26018,74146.27124,11024.84693,10927.06368,11140.45827,1007.21842,995.828013,1019.586832,51570.33915,51294.21694,51888.23241,23392.2234,23237.86928,23570.15616,2190.544527,2157.720316,2225.683598,21092.93005,20908.2365,21277.15146,993.5569202,978.428667,1009.976879
6/10/2020,20791.19688,20532.56944,21050.76803,474.5213731,461.796256,487.1915906,23444.6429,23124.31379,23789.05905,8364.455226,8153.261238,8557.906363,129681.8603,128688.6556,130661.0745,29107.9124,28925.91097,29293.02542,46727.48664,46206.47829,47253.99033,10996.97913,10863.75519,11141.4646,9993.293065,9892.826177,10081.53895,62640.542,62241.44792,63001.68111,53061.26824,52797.32071,53331.66368,819.3212795,703.1314024,951.0399281,3060.774551,3014.157243,3105.647557,139873.5625,138559.085,141093.8545,38953.78067,38761.57591,39130.80796,22691.30903,22538.069,22820.63916,11139.84551,11004.31485,11268.9791,11281.28105,11182.4791,11383.23603,43380.01244,42983.82527,43809.90479,2677.586739,2656.860191,2700.271685,61296.63442,61000.73856,61599.79454,107781.6784,106893.0086,108677.6137,61621.67845,61133.9178,62158.4006,30386.73441,30165.14098,30588.87732,17816.75003,17709.16178,17931.00014,15029.72474,14923.36915,15136.26461,521.1504445,511.1947653,530.9003225,16654.4307,16539.97879,16771.66071,9622.609903,9558.670018,9685.985167,5276.593266,5243.959427,5308.317859,169828.3333,168683.7978,170829.7075,9000.970301,8949.560141,9051.444243,387063.3868,384243.0811,390135.9659,33882.8172,33467.56489,34284.11447,3078.900708,3030.427918,3129.601121,40518.71914,40166.23531,40857.51597,7402.005897,7346.284375,7457.316138,4740.750048,4695.693564,4786.77172,83744.9141,83204.25093,84335.48333,16602.52569,16431.97584,16750.8771,13238.7216,13082.01339,13386.39886,5768.144849,5677.235616,5860.964047,26312.20721,26018.63329,26612.37467,74925.96674,74515.15365,75368.56867,11177.00144,11072.12554,11293.01255,1009.472598,997.0236815,1023.906063,52543.80376,52231.1752,52858.02174,23589.60108,23406.35919,23770.39015,2220.133146,2186.976871,2254.57826,21457.08134,21265.40212,21643.85946,1003.049796,986.1454359,1020.25194
6/11/2020,21165.60042,20890.42362,21432.13438,477.8513727,464.5937476,491.2205586,23889.28698,23544.99649,24223.13437,8507.832365,8297.924936,8725.174246,131804.3796,130734.1017,132890.8255,29395.25218,29194.95179,29604.64048,47136.89856,46616.209,47674.47923,11130.48821,10987.31029,11263.88512,10105.85482,10007.90336,10202.36134,63396.94155,62967.93351,63832.64795,53712.84437,53414.84522,54022.79545,824.7854676,709.8795551,936.2716426,3098.215538,3051.387371,3148.911132,141673.0929,140310.0071,142999.2386,39437.97117,39218.63501,39644.0854,23031.74115,22843.60948,23191.92804,11284.30867,11139.90909,11425.45686,11431.60927,11326.0665,11531.38071,43878.23077,43340.80197,44480.93453,2720.969629,2697.80418,2744.751858,62207.45427,61868.34742,62527.87881,108757.7367,107777.3581,109669.8998,62097.19462,61520.9689,62668.07008,30989.33048,30756.55082,31224.5864,18093.79189,17970.49762,18203.05525,15206.90377,15088.27028,15324.17262,524.5920197,513.8834378,535.1664354,16934.58097,16811.70427,17071.52968,9743.136114,9672.998732,9803.201957,5347.421518,5311.942976,5384.158748,170854.8562,169536.1205,172033.5946,9132.421457,9074.948321,9191.502914,388591.7756,385096.0969,392181.311,34582.19659,34140.62658,35023.02704,3130.371136,3078.134225,3182.462648,41036.67495,40698.43048,41366.80013,7498.515376,7440.812576,7560.901935,4799.179124,4747.094636,4846.23321,84533.34934,83904.53166,85182.39745,16780.53243,16601.29581,16948.0283,13421.43381,13276.33863,13579.49346,5845.799132,5746.097879,5937.660939,26669.621,26379.01953,26968.22523,76180.44123,75696.78911,76658.30233,11346.04467,11236.32997,11465.35259,1010.227541,994.64425,1026.577007,53409.85488,53091.23235,53761.23148,23842.32829,23657.17556,24044.77801,2253.25866,2218.820642,2286.457115,21857.53014,21657.96335,22058.70487,1013.644903,996.383817,1030.339254
6/12/2020,21533.38442,21264.18775,21787.24077,480.6063559,468.0149619,494.3474693,24319.2803,23970.60144,24663.34858,8685.856221,8479.16476,8881.59854,133947.93,132851.7133,135160.5004,29717.57105,29492.22644,29931.88038,47545.1653,46996.30112,48141.81966,11271.32509,11113.97789,11419.06375,10236.46892,10120.64649,10346.72582,64219.39923,63697.20997,64727.62589,54409.95136,54078.10741,54743.44647,831.4707145,700.175503,947.7240676,3133.648611,3080.911945,3188.36647,143766.2894,142340.4208,145322.5048,39946.06588,39697.18996,40189.38281,23385.00907,23162.93152,23586.94958,11434.03192,11264.81309,11593.49632,11602.52157,11492.62808,11716.02253,44314.1326,43628.98451,45060.15814,2766.839606,2741.682302,2792.509448,63215.0675,62848.2782,63563.2001,109768.8059,108743.3605,110812.3769,62600.20546,61951.96352,63250.65663,31609.90925,31353.47571,31869.5771,18378.47412,18254.88518,18497.98244,15375.03692,15243.34889,15507.81047,526.0140788,513.3165421,537.2541439,17234.76491,17075.14347,17408.54011,9858.764487,9782.617428,9933.218386,5422.047078,5383.54364,5460.125686,171772.8393,170010.5627,173151.0056,9280.051194,9216.253796,9344.855451,390115.6978,385738.765,394567.3974,35241.12311,34784.05836,35666.16211,3179.537678,3130.408769,3232.049107,41594.55075,41207.93239,41950.70606,7596.141994,7536.473097,7658.461764,4847.491725,4794.342134,4900.436873,85373.98648,84660.09629,86119.33282,16956.005,16755.7605,17137.8119,13605.69242,13457.91887,13777.94228,5921.591601,5829.832945,6016.102192,27025.37525,26709.6601,27339.04358,77471.45376,76969.80071,77950.05977,11528.7123,11415.41084,11653.3943,1017.430583,998.1857317,1038.386201,54428.88798,54065.49632,54836.89417,24082.88462,23857.62843,24322.43112,2283.261429,2247.908515,2324.341545,22266.96941,22055.68106,22478.68517,1023.729897,1005.901891,1039.963301
6/13/2020,21894.28971,21603.37689,22179.80743,482.0360046,467.8513428,497.0507771,24684.64035,24317.84107,25028.50613,8787.778686,8569.455516,9002.891667,135849.9509,134670.3844,137016.1618,30093.42575,29868.36764,30326.04227,48047.52203,47434.41764,48718.93465,11449.84386,11292.38217,11603.14121,10391.15985,10265.68927,10513.08679,64950.09634,64335.96921,65572.44926,55054.56335,54675.35717,55399.20365,846.8189929,724.4322964,972.244379,3158.536783,3096.938154,3219.119732,146241.8662,144651.635,147890.9416,40495.25686,40206.68289,40782.751,23768.90814,23514.00166,24010.09446,11620.71133,11442.25036,11796.67818,11766.9666,11651.63965,11880.54831,44730.74493,43899.06113,45646.46299,2812.427738,2782.138428,2839.222995,64299.12955,63906.10059,64692.68341,111010.7378,109786.8468,112181.9245,63177.40004,62445.74727,64027.30489,32324.68164,32053.61749,32618.20897,18683.20099,18540.84314,18819.09536,15543.92145,15396.95513,15691.92514,526.8401119,512.5044937,539.6777958,17563.60391,17374.14577,17776.23223,9980.975651,9887.624994,10064.05594,5503.96608,5458.883414,5545.917986,172990.8476,170947.4887,174676.1791,9415.213556,9342.907252,9489.059876,392564.4668,387623.2855,398487.1777,35884.25128,35404.93002,36349.18002,3243.345203,3193.740212,3297.506093,42231.34144,41809.33955,42664.43045,7693.605343,7624.673633,7761.70061,4895.416764,4839.786074,4952.24354,86407.12036,85611.34545,87246.37323,17183.21399,16975.32245,17377.03846,13806.21274,13643.87439,13974.2755,6022.807344,5918.219925,6110.814014,27393.29946,27076.0189,27710.55512,78549.91659,77960.01693,79116.29576,11691.53625,11579.462,11818.82541,1020.859649,996.8574742,1045.338555,55400.15196,54996.82638,55834.02054,24301.0225,24024.87291,24573.53053,2312.888964,2274.535156,2351.540772,22667.23766,22449.22766,22894.6746,1036.364413,1018.778462,1052.979642
6/14/2020,22255.79553,21963.30563,22544.11161,485.1972393,470.3313097,502.1765306,25135.60935,24772.9498,25515.42016,8922.76326,8712.668253,9125.249933,138027.6853,136780.0005,139358.3339,30533.94737,30244.86374,30813.76573,48418.83374,47776.18246,49162.62855,11580.87269,11417.18693,11726.69113,10524.73295,10392.89436,10651.52143,65683.28925,64956.62016,66424.32381,55633.3003,55201.82427,56067.0534,852.4052503,720.6440199,976.5922089,3181.6978,3110.910765,3250.626802,148293.0765,146643.3511,150156.7915,41018.45155,40670.37353,41371.35488,24133.98297,23819.12811,24424.41859,11738.6531,11509.25357,11959.47674,11938.12368,11808.83492,12054.40518,45052.79563,43970.31996,46175.24029,2855.220827,2822.248439,2885.582938,65276.96363,64793.02357,65732.04027,112037.8281,110702.6014,113304.0529,63576.85344,62611.05988,64615.29064,32989.72188,32679.5524,33298.24396,18987.67459,18835.21359,19125.38064,15696.0107,15519.88886,15860.3281,530.5068629,514.2537572,546.1400562,17863.45799,17639.47034,18114.14506,10101.00989,10005.40913,10190.71784,5575.405757,5524.352051,5625.354913,174090.0019,171650.6664,176221.5321,9550.830856,9468.082779,9641.869636,394634.1723,388385.5017,401580.0702,36545.88368,36032.7664,37044.92664,3295.416062,3239.592837,3347.351639,42817.07543,42384.86905,43230.65121,7786.578713,7712.411714,7863.818392,4961.552414,4899.038475,5020.965728,87158.919,86217.8464,88047.96445,17368.41232,17140.40387,17608.95248,14002.9195,13842.37825,14183.6451,6113.58394,6010.693108,6208.282892,27811.61655,27468.47817,28160.90434,79750.61168,79100.90754,80354.62825,11874.77778,11733.72098,11999.2209,1024.162635,994.850654,1053.77825,56341.43671,55898.22136,56833.72961,24556.78138,24258.9946,24866.60561,2341.758881,2301.996481,2381.239207,23080.47322,22858.70032,23329.10093,1046.698654,1028.923083,1064.019772
